round,n_pic,n_quote,n_ref,b_pic,b_quote,b_ref
10,,Entre les criminels et les aliénés il n'y a pas de différence essentielle,Aurore<br>1881,,J'ai pas besoin d'un psy mais d'un avocat,Tallac<br>Panthéon<br>2004
11,,Encore une heure trop tôt ici je suis venu,Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,J'suis trop en avance pour leur demander l'heure ,Pitbull<br>Ouest Side<br>2006
12,,Et je regarde en bas car je me tiens sur les sommets ,Ainsi Parlait Zarathoustra<br>Du lire et de l'écrire<br>1885,,Je rappe depuis l'Everest,45 Scientific<br>Lunatic<br>2010
13,,Etre indépendant est l'affaire d'un très petit nombre; c'est un privilège des forts ,Par Delà Bien et Mal<br>1886,,C'est bandant d'être indépendant,Indépendants<br>Temps Mort<br>2002
14,,"Ainsi mourir est le meilleur ; mais ce qui vient en second, c'est mourir au combat ",Ainsi Parlait Zarathoustra<br>De la libre mort<br>1885,,"Bras levé, tête haute<br>J'ai rêvé qu'j'mourrais au combat<br>J'veux pas mourir sur scène ",Pitbull<br>Ouest Side<br>2006
15,,Hélas accordez moi donc la folie,Aurore<br>1881,,Qu'on m'épargne toute psychologie,Nouvelle Ecole<br>Temps Mort<br>2002
16,,"Pour grandir, c'est à de durs rochers qu'un arbre veut lancer de dures racines ",Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,"Ronce du bitume, je ne fâne pas ",Ma Couleur<br>Lunatic<br>2010
17,,Chez les petites gens il est force mensonges ,Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,Mythomanes sont les fans,Boulbi<br>Ouest Side<br>2006
18,,"Difficile de trouver qui procède avec plus de fermeté et de rigueur, plus durement que moi ",Ainsi parlait Zarathoustra<br>La sangsue<br>1885,,"Quand j'y vais, j'y vais dur, je ne blague pas ",Ma Couleur<br>Lunatic<br>2010
19,,"Cela se donne, - encore un enseignement de démission ! Mais moi, je vous le dis, à vous les confortables : Cela se prend. ",Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,"Prends c'que t'as à prendre, personne te le donnera ",45 Scientific<br>Lunatic<br>2010
20,,Reçoit commandement qui ne se peut à lui-même obéir ,Ainsi Parlait Zarathoustra<br>De la domination de soi<br>1885,,"Ce combat contre moi-même, je le perds, c'est ma chute ",Garde la pêche<br>Ouest Side<br>2006
21,,Qu'importe de moi !  - Voila ce qui se trouve écrit sur la porte du penseur futur,Aurore<br>1881,,"Mon sort j'm'en bats les reins, pourvu qu'les miens s'en sortent",Paradis<br>Lunatic<br>2010
22,,Froid est le flot de toute profonde connaissance ,Ainsi Parlait Zarathoustra<br>Des illustres sages<br>1885,,Mon rap est froid comme un épaulard ,Au fond de la classe<br>Ouest Side<br>2006
23,,Je ne suis loi que pour les miens,Ainsi Parlait Zarathoustra<br>La Cène<br>1885,,Je rappe pour les miens,Si tu kiffes pas<br>Mauvais Oeil<br>2000
24,,Non qu'à ces coléreux je ne tienne rigueur ; tout juste ils me font rire !,Ainsi Parlait Zarathoustra<br>Le sacrifice du miel<br>1885,,Négro quand tu m'attaques je L O L smiley face,Marche ou Crève<br>0.9<br>2008
25,,Etre vrais - bien peu le peuvent !,Ainsi Parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,"Vrai je le resterai, je l'ai toujours été",Hors saison<br>Panthéon<br>2004
26,,Tu es quelqu'un qui d'obéir a désappris,Ainsi Parlait Zarathoustra<br>L'heure du plus grand silence<br>1885,,J'ai beaucoup d'mal à obéir aux hommes,Numéro 10<br>Panthéon<br>2004
27,,De la grandeur tu vas ton chemin ; à la trace personne ici ne te doit suivre,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,"B2O c'est mon blaze, personne n'ira où je vais",Couleur Ébène<br>Ouest Side<br>2006
28,,"Bien haut tu t'es lancé toi-même, mais il n'est pierre lancée - qui ne retombe !",Ainsi Parlait Zarathoustra<br>De la vision et de l'énigme<br>1885,,"Toujours plus haut je grimpe, plus dur je vais tomber",Bakel City Gang<br>Autopsie vol.4<br>2011
29,,"Il est pesant de vivre avec des hommes, car il est pesant de se taire.",Ainsi Parlait Zarathoustra<br>L'heure du plus grand silence<br>1885,,Fier j'sais pas quand m'taire<br>Poing levé aux JO,Fast Life<br>Lunatic<br>2010
30,,Du plus profond il faut que le plus haut à sa propre hauteur s'élève,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,"On l'a fait tout seuls, du sous-sol au toit sans boussole",Indépendants<br>Temps Mort<br>2002
31,,Vous me fuyez ? Avec effroi ? Devant cette parole vous tremblez ?,Ainsi Parlait Zarathoustra<br>De l'immaculée connaissance<br>1885,,"J'ai le verset qui bouleverse, ma diction est malédiction",Tallac<br>Panthéon<br>2004
32,,"il est en moi quelque chose d'invulnérable, d'inensevelissable et qui perce le roc",Ainsi Parlait Zarathoustra<br>Le chant des tombes<br>1885,,Rien ne m'arrête à part du neuf millimètres,Ouest Side<br>Ouest Side<br>2006
33,,"Mais il faut, je le veux, que d'abord toi-même te sois bâti, carré de corps et d'âme !",Ainsi Parlait Zarathoustra<br>D'enfant et de mariage<br>1885,,Cerveau en très bon état<br>95 kilos de muscles,A3<br>Autopsie Vol. 3<br>2009
34,,"Dans le desert toujours vécurent les véraces, les libres esprits, en seigneurs du desert ",Ainsi Parlait Zarathoustra<br>Des illustres sages<br>1885,,Aigle du désert discute<br>Avec ces fils de putes,Saddam Hauts d'Seine<br>Lunatic<br>2010
35,,"Mon langage est du peuple ; trop cru je parle, et à coeur trop ouvert, pour les lapins angoras ",Ainsi parlait Zarathoustra<br>De l'esprit de pesanteur<br>1885,,"Ok je suis vulgaire<br>Les bourges en chopent des ulcères<br>
Quand ils entendent ce qui sort d'ma bouche<br>C'est le son dangereux du ter-ter ",Le Duc de Boulogne<br>Ouest Side<br>2006
36,,"Ces accusateurs de la vie, en un clin d'oeil la vie a raison d'eux. ""Tu m'aimes, dit l'effrontée, attends encore un peu. De m'occuper de toi n'ai le temps.""  ",Ainsi parlait Zarathoustra<br>Le convalescent<br>1885,,"J'ai pris la vie dans mes bras aahhhh<br>
Je l'ai serrée si fort je lui ai cassé le dos",Boulbi<br>Ouest Side<br>2006
37,,"Qui sa propre vertu s'invente, il faut que les gens de bien le crucifient ! ",Ainsi Parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,Mon rap a été crucifié à en devenir Christ ,Paradis<br>Lunatic<br>2010
38,,Ici il peut voler ! Pourquoi devrait-il redescendre dans ces eaux troublées où l'on doit nager et patauger !,Le Gai Savoir<br>1882,,C'n'est pas qu'j'aime pas me mélanger mais disons<br>Simplement que les aigles ne volent pas avec les pigeons,Rats des Villes<br>Autopsie Vol.3<br>2009
39,,Je connais ma destinée. Un jour s'attachera à mon nom le souvenir de quelque chose de formidable,Ecce Home<br>1888,,"Comme une étoile j'ai disparu depuis longtemps<br>Mais tu me vois toujours briller, toujours scintiller",Comme Une Étoile<br>Lunatic<br>2010
40,,C'est de ravisseur que pour les bergers Zarathoustra veut avoir le nom,Ainsi Parlait Zarathoustra<br> <br>1885,,"Je n'fais pas partie du troupeau<br>
J'égorge le garde-champêtre<br>
Prends les armes avec moi si t'es mon poto",A3<br>Autopsie Vol. 3<br>2009
41,,"Le criminel donne souvent la preuve d'une parfaite domination de soi, de sacrifice et de sagesse ",Aurore<br>1881,,Criminel depuis le minitel<br>Vole de mes propres ailes<br>B.A.K.E.L. City Gang,Bakel City Gang<br>Autopsie Vol. 4<br>2011
42,,De tout ce qui est écrit je n'aime que ce qu'on écrit avec son sang.,Ainsi Parlait Zarathoustra<br>De l'écrire et du lire<br>1885,,Rouge sang sont mes versets,Inédit<br>Temps Mort<br>2002
43,,Je ne loue le pays où beurre et miel - coulent !,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,"Moi j'ai pas une voix d'miel, j'ai pas d'e-mail<br>J'torpille l'industrie, j'pille",Animals<br>Temps Mort<br>2002
44,,Louange à ce qui rend dur ! ,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,On sort d'chez l'éducateur avec de gros hématomes,On contrôle la zone<br>Autopsie Vol. 3<br>2009
45,,Je préfèrerais encore être considéré comme un satyre que comme un saint ,Ecce Home<br>Préface<br>1888,,"Petit massage, en mode Belzebuth<br>Cela va d'soi on va baiser des putes ",Top Niveau<br>Lunatic<br>2010
46,,Je préfèrerais encore être considéré comme un satyre que comme un saint ,Ecce Home<br>Préface<br>1888,,"Mets-moi le Graal entre les mains, j'me sers un verre de sky",Ouest Side<br>Ouest Side<br>2006
47,,"Le meilleur nous appartient, aux miens et à moi-même ; et quand on nous le refuse, alors nous le prenons : - la meilleure chère, le ciel le plus pur, les plus robustes pensées, les plus belles femmes.",Ainsi Parlait Zarathoustra<br>De la voie du créateur<br>1885,,"Tu veux savoir c'que j'ai dans la tête ?<br>Compte en Se-ssui, Merco Benz<br>Lamborghini, J-Lo<br>Beyonce, Jack, bédo",Caesar Palace<br>Lunatic<br>2010
48,,De tout ce qui est écrit je n'aime que ce qu'on écrit avec son sang.,Ainsi Parlait Zarathoustra<br>De l'écrire et du lire<br>1885,,Kounta Kinté mes plumes trempées dans le sang de mes prédécesseurs,Vaisseau Mère<br>Autopsie Vol. 4<br>2011
49,,Sur tout ce qu'ils ont de grand et de petit j'ai crié ma colère et ma malédiction,Ainsi Parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,J'prends pas le mic pour que la banlieue se fâche<br>J'suis là pour tout découper B 2 O B Astéro-hâche,Ouest Side<br>Ouest Side<br>2006
50,,"Destinée je te suis ! Si je ne le voulais point,<br>Il me faudrait le faire, même parmi les larmes !",Aurore<br>1881,,"J'aurais voulu être un artiste, modifier l'synopsis<br>Mais tout est tracé, comme le parcours d'un kilo d'shit",Paname<br>Autopsie Vol. 4<br>2011
51,,"Il meurt sa mort, celui qui accomplit, vainqueur, entouré de ceux qui espèrent et qui promettent ",Ainsi Parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,On m'a dit d'garder espoir<br>Matin midi et soir<br>Je n'espère pas moi<br>Je fonce dans le tas moi,Soldats<br>0.9<br>2007
52,,Je suis le premier immoraliste.,Ecce Homo<br>1888,,autant d'morale qu'Adebisi,Indépendants<br>Temps Mort<br>2002
53,,De tout ce qui est écrit je n'aime que ce qu'on écrit avec son sang,Ainsi Parlait Zarathoustra<br>De l'écrire et du lire<br>1885,,Du sang d'encre entre les carreaux,Garde la pêche<br>Ouest Side<br>2006
54,,"Ô mon âme, de toi j'ai arraché tout obéir, s'agenouiller et dire ""Seigneur"" ",Ainsi parlait Zarathoustra<br>De la grande nostalgie<br>1885,,Je ne suis pas chevalier car fallait mettre genou à terre ,Lunatic<br>Lunatic<br>2010
55,,"Et si de mes coursiers je veux monter le plus sauvage, toujours ma meilleure aide est mon javelot",Ainsi Parlait Zarathoustra<br>L'enfant au mirroir<br>1885,,"Génération Mad Max, armé sous la gabardine",Paradis<br>Lunatic<br>2010
56,,"Dante, si on le compare à Zarathoustra, n'est qu'un croyant et non pas quelqu'un qui crée d'abord la vérité",Ecce Homo<br>1888,,J'suis meilleur que Molière<br>Tatoué sans muselière,Garde la Pêche<br>Ouest Side<br>2006
57,,"Sur le fleuve du devenir, vous avez assis votre vouloir et vos valeurs ",Ainsi Parlait Zarathoustra<br>De la domination de soi<br>1885,,"Je veux l'être, j'vais l'devenir<br>Aujourd'hui je n'prie pas c'est dimanche",Couleur ébène<br>Ouest Side<br>2006
58,,De force une femme retint son enfant qui vers moi voulait venir : Eloignez les enfants ! criait-elle; des yeux comme ceux-là roussissent des âmes d'enfants ! ,Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,On m'a dit de changer des mots pour pas qu'les p'tits m'suivent<br>Pas grâce à moi qu'ils pensent à Tony d'vant leurs p'tit suisses ,On m'a dit<br>Temps Mort<br>2002
59,,De tout ce qui est écrit je n'aime que ce qu'on écrit avec son sang.,Ainsi Parlait Zarathoustra<br>De l'écrire et du lire<br>1885,,Avec du sang d'esclave j'écris cette missive,A3<br>Autopsie Vol. 3<br>2009
60,,"Qui écrit avec son sang et par sentences, il ne veut qu'on le lise mais que par coeur on l'apprenne !",Ainsi Parlait Zarathoustra<br>De l'écrire et du lire<br>1885,,"Ecoute mes sons en boucle, apprends à me connaître",Réel<br>Lunatic<br>2010
61,,"Au bon moment, mes frères, avancez droit, d'avancer droit apprenez l'art.",Ainsi parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,J'ai demandé ma route au mur<br>Il m'a dit d'aller tout droit ,Ouais Ouais<br>Ouest Side<br>2006
62,,"Ainsi à travers bien des peuples et des villes de toutes sortes, sans hâte cheminant,
 Zarathoustra, par des voies détournées, retournait à ses montagnes et à sa caverne ",Ainsi Parlait Zarathoustra<br>De passer outre<br>1885,,"C'est de bon de s'arracher, voyager pour se sentir libre<br>Besoin de voir le monde pour le sentir vivre",Réel<br>Lunatic<br>2010
63,,Et à l'étoile qui s'éteint ressemble toute oeuvre de votre vertu : toujours encore erre et chemine sa lumière,Ainsi Parlait Zarathoustra<br>Des Vertueux<br>1885,,"Comme une étoile j'ai disparu depuis longtemps<br>Mais tu me vois toujours briller, toujours scintiller",Comme Une Étoile<br>Lunatic<br>2010
64,,Chez eux peu de virilité; pourquoi leurs femmes se font hommes ,Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,J'les baise comme des chiennes<br>À chaque fois elles reviennent ,Saddam Hauts d'Seine<br>Lunatic<br>2010
65,,Par le glaive de cette parole tu tranches de notre coeur la plus épaisse ténèbre,Ainsi Parlait Zarathoustra<br>Dialogue avec les Rois<br>1885,,Mes rimes sont que des lames de sabres samouraïs que j'aiguise,Gangster<br>Autopsie Vol. 4<br>2011
66,,"Celui qui a le goût et le devoir de sonder les âmes recourra de diverses manières à un tel
 art, (...) il mettra à l'épreuve son instinct de respect ",Par Delà Bien Et Mal<br>1886,,"Vrais reconnaissent vrais<br>Je sais qui l'est, qui ne l'est pas ",Ma Couleur<br>Lunatic<br>2010
67,,"Le degré de vérité que supporte un esprit, la dose de vérité qu'un esprit peut oser, c'est ce qui m'a servi de plus en plus à donner la véritable mesure de sa valeur.",Ecce Home<br>1888,,J'suis un sérum de vérité<br>Les menteurs m'empoisonnent,Garde la Pêche<br>Ouest Side<br>2006
68,,"Et qui nécessairement est dans le bien et le mal un créateur, celui-là, en vérité il lui faut
 être d'abord un négateur  ",Ainsi Parlait Zarathoustra<br>De la domination de soi<br>1885,,"De toute manière je suis celui qui a dit ""non""<br>Va niquer ta mère ",Inédit<br>Temps Mort<br>2002
69,,"Je ressemble au coq ici dans une basse-cour étrangère; le mordent même les poules;
 mais à ces poules n'en tient rancune",Ainsi Parlait Zarathoustra<br>De la rapetissante vertu<br>1885,,"Les mecs sont haineux, mais laisse-les<br>IIs n'ont pas de couilles, ne peuvent que rayer ma Bentley ",Réel<br>Lunatic<br>2010
70,,Tout penseur peint son monde à lui et les choses qui l'entourent avec moins de couleurs qu'il n'en existe (...) Peut-être est-ce seulement par cette voie que l'humanité a appris la jouissance en regard de la vie.,Aurore<br>1881,,J'ai repeint le monde à ma couleur<br>En vert en jaune en violet pour apaiser ma douleur,Ma Couleur<br>Lunatic<br>2010
71,,Je connais ma destinée. Un jour s'attachera à mon nom le souvenir de quelque chose de formidable,Ecce Home<br>1888,,Ma vie graffée sur un métro ligne 9 par Léonard de Vinci,On sait l'faire<br>Autopsie Vol. 2<br>2007
72,,"Chez eux toute est discours, tout se trahit. Et ce qui eut nom jadis mystère et de l'âme profonde intimité, aux trompettes des rues et autres papillons, tout cela ce jour d'hui appartient.",Ainsi Parlait Zarathoustra<br>Le retour au pays<br>1885,,"Ton rap montre ses fesses, n'est pas pudique",Boss du rap game<br>Lunatic<br>1885
73,,"La vie alors pensivement regarda derrière elle et alentour, et dit à voix basse : "" Ô Zarathoustra ! assez ne m'es fidèle ! Tu ne m'aimes , et de loin, autant que tu le dis ; tu songes, je le sais, à me quitter bientôt.""",Ainsi Parlait Zarathoustra<br>Le deuxième chant de danse<br>1885,,J'ai pris la vie dans mes bras<br>Je l'ai serrée si fort<br>Je lui ai cassé le dos,Boulbi<br>Ouest Side<br>2006
74,,En paix ne puis longtemps rester assis,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,"Mon frère j'voulais la gloire, j'ai eu la guerre<br>J'lai faite, y en aura d'autres, c'est la merde",Le Bitume avec une plume<br>Temps Mort<br>2002
75,,En paix ne puis longtemps rester assis,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,Hey ma grosse tu crois quoi<br>Rien n'est jamais acquis<br>Plutôt qu'mettre une pote-ca<br>J'préfère mettre mon treillis kaki,Killer<br>Lunatic<br>2010
76,,"Qui sa propre vertu s'invente, il faut que les gens de bien le crucifient ! ",Ainsi Parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,Va clouer ta mère<br>Laisse-moi porter ma croix,Boss du Rap Game<br>Lunatic<br>2010
77,,je révolte par ma seule présence tout ce qui a du sang corrompu dans les veines,Ecce Homo<br>1888,,Les faux négros me fuient,Mauvais Garçon<br>Ouest Side<br>2006
78,,On rémunère mal un maître si l'on reste toujours son élève,Ainsi Parlait Zarathoustra<br>De la prodigue vertu<br>1885,,Impossible d'apprendre sans qu'j'finisse maître,Ouest Side<br>Ouest Side<br>2006
79,,"Pour moi vous n'avez encore assez mal ! Car à vous-mêmes seulement avez mal, mais n'eûtes encore mal à l'homme !  ",Ainsi Parlait Zarathoustra<br>De l'homme supérieur<br>1885,,"J'ai souffert, d'autres ont souffert beaucoup plus<br>Pour eux j'déchaîne l'enfer et degrés Celsius ",Foetus<br>Autopsie Vol. 3<br>2009
80,,"Votre vie d'obéissance et de guerre, de la sorte vivez ! Qu'importe une longue vie ? Est-il guerrier qui veut être épargné ?",Ainsi Parlait Zarathoustra<br>De la guerre et des guerriers<br>1885,,J'retrace la guerre dans mes morceaux<br>Et si j'me fais canner pas besoin d'en faire une chanson,"Le bitume avec une plume<br>Temps Mort<br>2002
"
81,,Louange à ce qui rend dur ! ,Ainsi Parlait Zarathoustra<br>Le voyageur<br>1885,,9 2 i enseigne à frapper l'ennemi jusqu'à c'que phalange saigne ,IZI Money<br>0.9<br>2008
82,,"Il est assurément d'autres chanteurs, à qui la maison pleine seule au gosier donne sa souplesse, aux mains leur éloquence, à l'oeil son expression et au coeur son éveil; - à eux ceux-là je ne ressemble.",Ainsi Parlait Zarathoustra<br> <br>1885,,"J'pense qu'à faire de l'argent<br>
J'pense qu'à faire de l'argent<br>
J'pense qu'à faire de l'argent<br>
J'pense qu'à faire de l'argent<br>",Saddam Hauts d'Seine<br>Lunatic<br>2010
83,,"Être capable de se tenir debout, c'est mérite de courtisan; et croient tous courtisans qu'à la béatitude, après la mort, appartiendra le droit de s'asseoir ",Ainsi Parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,"Je vais régner assis, négro, je vais mourir debout ",Jour de Paye<br>Lunatic<br>2010
84,,"Pourquoi si dur - dit un jour l'anthracite au diamant. Ne sommes-nous proches parents ?
Pourquoi si mous ? Ainsi, mes frères, moi, je vous interroge. ",Ainsi parlait Zarathoustra<br>D'anciennes et de nouvelles tables<br>1885,,Mon rap n'est pas trop dur<br>C'est toi qui est mou ,Qui remet ça<br>0.9<br>2008
85,,J'ai besoin de me laver les mains après avoir été en contact avec des hommes religieux.,Ecce Homo<br>1888,,Pas d'meilleur endroit pour s'faire sodomiser que l'Église,Gangster<br>Autopsie Vol. 4<br>2011
86,,Et d'être aux ordres de vos entrailles votre esprit maintenant se fait honte,Ainsi Parlait Zarathoustra<br>De l immaculee connaissance<br>1885,,J'ai jamais eu peur de poser mes tripes sur la musique ,Si tu savais<br>Lunatic<br>2010
87,,Qu'à ces fidèles n'attache son coeur qui est de ma façon parmi les hommes ! Qu'a ces printemps et a ces près ne fasse confiance qui de la fuyante et lâche espèce humaine a connaissance. ,Ainsi Parlait Zarathoustra<br>Des renégats<br>1885,,C'est pas la rue mais l'être humain qui m'attriste<br>Comment leur faire confiance? Ils ont tué le Christ ,Boulbi<br>Ouest Side<br>2006
88,,"Mais si pleurer ne veux, ni laisser fondre en larmes ta purpurine mélancolie, lors, ô mon âme, il te faudra chanter !",Ainsi parlait Zarathoustra<br>De la grande nostalgie<br>1885,,"Tu crois que je vais mal, que je n'dors plus,tu voudrais sécher mes larmes<br>Mais il y a bien longtemps que je n'pleure plus, messieurs et mesdames",Comme une Etoile<br>Lunatic<br>2010
89,,"Et tel est le secret que me confia la vie elle-même : ""Vois, disait-elle, je suis ce qui toujours ne se peut soi-même que dominer.""",Ainsi parlait Zarathoustra<br>De la domination de soi<br>1885,,"Traîner la vie par l'chignon, mon seul combat ",Avant de partir<br>Panthéon<br>2004
90,,"On se rend maintenant très bien compte, à l'aspect du travail - c'est-à-dire de cette dure activité du matin au soir -, que c'est là la meilleure police, qu'elle tient chacun en bride et qu'elle s'entend à entraver vigoureusement le développement de la raison, des convoitises, des envies d'indépendance.",Aurore<br>1881,,"Taffer de neuf à cinq, pour moi c'est pas la vie<br>Tuez-moi tout d'suite emmenez-moi au Paradis",Paradis<br>Lunatic<br>2010
91,,"Et vous aussi, ô vous pour qui la vie est sauvage labeur et trouble, n'êtes-vous très las de vivre? Pour le prêche de mort n'êtes-vous très mûrs? ",Ainsi Parlait Zarathoustra<br>Des prêcheurs de mort<br>1885,,Si t'as pas d'raison d'vivre<br>Trouve une raison de crever,Couleur Ebène<br>Ouest Side<br>2006
92,,"Ces gens sont prudents, c'est doigts prudents qu'ont leurs vertus. Mais leur manquent les poings; derrière des poings ne savent leurs doigts se dissimuler. ",Ainsi Parlait Zarathoustra<br>De la repantissante vertu<br>1885,,9 2 i enseigne à frapper l'ennemi jusqu'à c'que phalange saigne ,IZI Money<br>0.9<br>2008
93,,"Trop loin je volais vers l'avenir ; m'assaillit un frisson d'horreur. 
Et quand autour de moi je regardai, voici que le temps était mon seul contemporain.",Ainsi Parlait Zarathoustra<br>Du pays de la culture<br>1885,,"Normal tu ne me vois pas, renoi, j'suis dans le futur",Caesar Palace<br>Lunatic<br>2010
